Name,n,RAJ2000,DecJ2000,VarType,MagMax,Period,SpType,CanSeeInPhaseFoldedLightCurve,qual,AllWISE Name,allwise_ra_j2000,allwise_dec_j2000,query_rad,include
EG Gru,x,21 46 19.42,-42 50 49.4,RRAB,12.35,0.61542,nulltype,BEAUTIFUL!,3,J214619.40-425049.6,326.5808572,-42.8471149,2.50,1
BB Lep,x,05 42 30.18,-16 22 54.5,RRAB,11.8,0.5389,nulltype,BEAUTIFUL!,3,J054230.18-162254.6,85.6257547,-16.38186,2.50,1
VZ Vir,x,13 26 12.06,+00 11 20.9,RRC,12.2,0.3396113,B8hb,YES,3,J132612.06+001120.8,201.5502649,0.1891322,2.50,1
SX UMa,*,13 26 13.46,+56 15 25.1,RRC,10.58,0.3071178,A4-F5,maybe?,2,J132613.36+561525.0,201.555699,56.2569685,2.50,1
DH Peg,*,22 15 25.64,+06 49 21.4,RRC,9.15,0.2555104,A5.0-F0.5,YES!,3,J221525.65+064921.4,333.856886,6.8226149,2.50,1
V0535 Mon,*,07 10 48.83,+01 16 56.0,RRC,11.8,0.3328635,nulltype,maybe?,2,J071048.83+011655.9,107.7034627,1.2822201,2.50,1
TV Lyn,*,07 33 31.73,+47 48 09.8,RRC,11.24,0.24065119,A6,YES!,3,J073331.73+474809.9,113.3822118,47.80277,2.50,1
V0686 Ara,x,16 47 48.19,-59 52 10.0,RV,12.7,36.3,K4-K5,YES,3,J164748.23-595209.7,251.9509797,-59.8693763,2.50,1
TW Cam,*,04 20 47.63,+57 26 28.5,RV,8.98,86.0,F8Ib-G8Ib,maybe,2,J042047.66+572628.5,65.1985856,57.4412714,2.50,1
V1690 Cyg,,20 22 30.94,+42 49 36.4,RV,11.3,285.0,nulltype,maybe,2,J202230.90+424936.3,305.6287778,42.8267649,2.50,1
BT Lib,*,15 31 15.88,-23 21 36.3,RV,11.5,75.34,nulltype,maybe,2,J153115.87-232136.2,232.8161423,-23.3600783,2.50,1
RU Cen,x,12 09 23.82,-45 25 34.8,RV,8.53,64.74,G2wF6,maybe,2,J120923.80-452534.7,182.3491928,-45.4263089,2.50,1
EQ Cas,x,23 52 53.30,+55 00 48.9,RVA,9.3,58.34,Fp(R),YES,3,J235253.26+550049.0,358.2219457,55.0136144,2.50,1
HI Tel,x,18 55 22.64,-52 45 04.0,RVA,10.6,66.5,nulltype,YES,3,J185522.64-524504.0,283.8443353,-52.7511229,2.50,1
TX Per,*,02 48 00.43,+36 58 01.9,RVA,9.81,78.0,Gp(M2)-K0e(M2),maybe,2,J024800.47+365801.7,42.0019853,36.967143,2.50,1
SY Cir,x,14 03 33.64,-69 37 54.4,RVA,11.5,46.224,nulltype,NICE!,3,J140333.62-693754.4,210.8901223,-69.6317833,2.50,1
CX Cap,x,20 24 11.75,-24 57 01.4,RVA,12.4,51.3945,nulltype,YES,3,J202411.73-245701.3,306.0489162,-24.9503845,2.50,1
CX Cap,x,20 24 11.75,-24 57 01.4,RVA,12.4,51.3945,nulltype,maybe,2,J202411.73-245701.3,306.0489162,-24.9503845,2.50,1
CU Del,*,20 29 55.88,+13 53 10.8,RVB,13.2,127.0,M3II,eh,1,J202955.86+135311.1,307.4827827,13.8864314,2.50,1
EP Lyr,*,19 18 19.56,+27 51 03.1,RVB,9.96,83.34,A4Ib-G5p,YES?,3,J191819.55+275103.0,289.5814866,27.8508547,2.50,1
AR Pup,*,08 03 01.65,-36 35 47.9,RVB,8.7,74.58,F0I-II-F8I-II,maybe?,2,J080301.66-363547.5,120.7569516,-36.5965554,2.50,1
V1504 Sco,*,17 26 58.65,-43 33 13.5,RVB,11.7,44.0,G0p,eh,1,J172658.63-433313.5,261.7443305,-43.5537556,2.50,1
RV Tau,*,04 47 06.73,+26 10 45.6,RVB,9.8,78.731,G2eIa-M2Ia,eh,1,J044706.75+261045.7,71.7781573,26.1793711,2.50,1
KP Aps,x,17 10 22.39,-73 26 04.8,SR,12.0,41.4,nulltype,YES,3,J171022.38-732604.7,257.5932882,-73.4346607,2.50,1
GY CVn,x,13 50 12.99,+47 40 41.8,SR,9.5,57.0,nulltype,eh,1,J135012.97+474041.5,207.5540487,47.6781991,2.50,1
TV CMi,x,07 39 39.38,+06 58 00.6,SR,14.7,147.0,nulltype,YES,3,J073939.39+065800.9,114.9141365,6.9669298,2.50,1
UX Cnc,x,09 03 29.51,+07 35 37.7,SR,11.7,42.35,nulltype,maybe,2,J090329.52+073537.7,135.8730088,7.5938107,2.50,1
OZ Cam,x,03 48 44.84,+67 16 12.9,SR,12.3,70.0,nulltype,no?,1,J034844.78+671612.8,57.186606,67.2702248,2.50,1
RZ Ant,x,09 38 35.74,-29 56 54.2,SRA,12.4,232.0,nulltype,maybe,2,J093835.68-295654.6,144.6486859,-29.9485047,2.50,1
HN Ara,x,17 46 43.76,-56 40 26.4,SRA,11.9,88.4,nulltype,yes,3,J174643.75-564026.3,266.6823304,-56.6739914,2.50,1
KQ Cep,x,22 12 28.50,+54 12 40.9,SRA,16.0,310.0,nulltype,maybe,2,J221228.47+541240.4,333.1186618,54.2112325,2.50,1
FT Cha,x,11 51 53.88,-76 44 06.9,SRA,12.8,150.56,nulltype,maybe,2,J115153.86-764406.7,177.9744273,-76.7352036,2.50,1
WW Oph,*,17 55 40.34,+07 50 42.2,SRA,12.0,72.63,nulltype,no,1,J175540.29+075042.1,268.9178876,7.8450326,2.50,1
HY Aps,x,16 25 13.51,-73 37 20.4,SRB,8.9,59.8,nulltype,no,1,J162513.42-733720.2,246.3059363,-73.6222827,2.50,1
DV Aur,x,05 13 20.67,+34 37 04.2,SRB,12.9,117.0,M5,no,1,J051320.68+343704.1,78.3361827,34.6178098,2.50,1
BB Cam,x,12 46 19.35,+77 06 30.0,SRB,15.1,142.0,M0,maybe?,2,J124619.43+770630.3,191.580994,77.108441,2.50,1
Y Com,*,13 06 34.30,+18 58 20.9,SRB,13.4,95.0,nulltype,maybe?,2,J130634.36+185821.1,196.6431741,18.972536,2.50,1
EZ Cru,x,12 31 47.66,-56 09 40.4,SRB,13.2,256.0,nulltype,maybe?,2,J123147.66-560940.2,187.948591,-56.161184,2.50,1
V0514 Ara,x,17 18 19.82,-54 25 45.7,SRD,13.5,118.0,K0-K2,YES,3,J171819.82-542545.9,259.5825921,-54.4294327,2.50,1
V1496 Cen,x,13 25 58.72,-47 36 09.8,SRD,13.3,82.32,K0:,maybe?,2,J132558.71-473609.8,201.4946479,-47.6027434,2.50,1
DS Cir,x,14 18 56.40,-69 14 27.2,SRD,11.5,98.6,nulltype,maybe?,2,J141856.38-691427.3,214.7349278,-69.240935,2.50,1
RV Col,x,05 35 44.21,-30 49 35.4,SRD,9.3,105.7,G5,no,1,J053544.22-304935.2,83.934256,-30.8264484,2.50,1
BP Her,x,18 43 59.39,+24 12 49.7,SRD,12.7,83.1,Gep-M3Ia,maybe?,2,J184359.38+241249.8,280.9974306,24.2138343,2.50,1
OU Cam,x,03 42 35.45,+66 22 20.5,CEP,11.55,25.3,nulltype,maybe?,2,J034235.44+662220.3,55.6477021,66.3723259,2.50,1
EU Cyg,x,19 51 17.33,+32 40 32.4,CEP,13.68,14.991176,nulltype,YES,3,J195117.27+324031.9,297.8219963,32.6755505,2.50,1
QQ Per,x,02 54 40.42,+51 49 28.7,CEP,14.1,11.194,nulltype,YES-ish,3,J025440.39+514928.6,43.6683138,51.8246378,2.50,1
CG Sgr,*,19 00 16.52,-35 46 06.6,CEP,14.0,64.1,nulltype,maybe?,2,J190016.61-354605.5,285.06923,-35.7682127,2.50,1
LS Pup,x,07 58 59.22,-29 18 28.4,CEP,9.8,14.1464,nulltype,YES,3,J075859.22-291828.3,119.7467544,-29.3078752,2.50,1
CO Aur,*,06 00 28.51,+35 18 43.8,CEP(B),7.43,1.783027,F5Ib,no,1,J060028.49+351843.8,90.1187362,35.312185,2.50,1
TU Cas,*,00 26 19.45,+51 16 49.3,CEP(B),7.05,2.13931,F3II-F5II,no,1,J002619.45+511649.2,6.5810549,51.2803506,2.50,1
BQ Ser,*,18 36 15.94,+04 23 53.7,CEP(B),9.21,4.2709,F6III,no,1,J183615.95+042353.6,279.0664899,4.3982302,2.50,1
AP Vel,*,08 39 45.76,-43 51 39.1,CEP(B),9.49,3.12776,F9,maybe?,2,J083945.74-435139.1,129.9406107,-43.8608708,2.50,1
AX Vel,*,08 10 49.32,-47 41 54.8,CEP(B),7.93,2.592891,F6II,maybe?,2,J081049.31-474154.7,122.7054778,-47.6985346,2.50,1
